STT,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Status,N_lines,Coord_Cluster
7,12/11/2018,3780621,419207,2,419207,A0503203,A05,3,"[39.0, 9.0]",A0503,1,2,"[29.88, 15.0]"
8,12/11/2018,3780621,447663,1,447663,A1020501,A10,20,"[20.75, 21.0]",A1020,1,2,"[29.88, 15.0]"
12,12/11/2018,3780559,351052,1,351052,A0714301,A07,14,"[31.25, 16.5]",A0714,1,9,"[31.58, 16.83]"
13,12/11/2018,3780559,442946,1,442946,A0309308,A03,9,"[45.5, 13.5]",A0309,1,9,"[31.58, 16.83]"
14,12/11/2018,3780559,326280,1,326280,A0608404,A06,8,"[34.5, 12.0]",A0608,1,9,"[31.58, 16.83]"
15,12/11/2018,3780559,380521,1,380521,A0322308,A03,22,"[44.25, 22.5]",A0322,1,9,"[31.58, 16.83]"
16,12/11/2018,3780559,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,1,9,"[31.58, 16.83]"
17,12/11/2018,3780559,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,1,9,"[31.58, 16.83]"
18,12/11/2018,3780559,287410,1,287410,A0609202,A06,9,"[35.75, 13.5]",A0609,1,9,"[31.58, 16.83]"
19,12/11/2018,3780559,440531,1,440531,A1011103,A10,11,"[22.75, 15.0]",A1011,1,9,"[31.58, 16.83]"
20,12/11/2018,3780559,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,1,9,"[31.58, 16.83]"
21,12/11/2018,3780555,290863,1,290863,A1011204,A10,11,"[22.75, 15.0]",A1011,0,2,"[21.12, 18.0]"
22,12/11/2018,3780555,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,0,2,"[21.12, 18.0]"
25,12/11/2018,3780514,427203,1,427203,A0306304,A03,6,"[44.25, 10.5]",A0306,0,2,"[32.5, 9.75]"
26,12/11/2018,3780514,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,0,2,"[32.5, 9.75]"
30,12/11/2018,3780497,437987,1,437987,A0507101,A05,7,"[39.0, 12.0]",A0507,1,4,"[26.25, 17.25]"
31,12/11/2018,3780497,442479,1,442479,A1117201,A11,17,"[19.5, 19.5]",A1117,1,4,"[26.25, 17.25]"
